"Alistipes finegoldii DSM 17242","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","Alistipes finegoldii DSM 17242"
"Alistipes ihumii AP11","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes ihumii","Alistipes ihumii AP11"
"Alistipes indistinctus YIT 12060","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes indistinctus","Alistipes indistinctus YIT 12060"
"Alistipes putredinis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","strain"
"Alistipes senegalensis JC50","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes senegalensis","Alistipes senegalensis JC50"
"Alistipes shahii","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","strain"
"Alistipes shahii WAL 8301","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","Alistipes shahii WAL 8301"
"Alistipes timonensis JC136","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes timonensis","Alistipes timonensis JC136"
"Alkalibacter saccharofermentans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Alkalibacter","Alkalibacter saccharofermentans","strain"
"Alkalibaculum bacchi","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Alkalibaculum","Alkalibaculum bacchi","strain"
"Alkalicella caledoniensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Proteinivoraceae","Alkalicella","Alkalicella caledoniensis","strain"
"Alkalihalobacillus lehensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Alkalihalobacillus","Alkalihalobacillus lehensis","strain"
"Alkaliphilus crotonatoxidans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus","Alkaliphilus crotonatoxidans","strain"
"Alkaliphilus hydrothermalis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus","Alkaliphilus hydrothermalis","strain"
"Alkaliphilus oremlandii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus","Alkaliphilus oremlandii","strain"
"Alkaliphilus peptidifermentans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus","Alkaliphilus peptidifermentans","strain"
"Alkaliphilus transvaalensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus","Alkaliphilus transvaalensis","strain"
"Alterileibacterium massiliense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Alterileibacterium","Alterileibacterium massiliense","strain"
"Amedibacillus dolichus","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus","Amedibacillus dolichus","strain"
"Amedibacillus dolichus DSM 3991","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus","Amedibacillus dolichus","Amedibacillus dolichus DSM 3991"
"Aminicella lysinilytica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Aminicella","Aminicella lysinilytica","strain"
"Aminipila butyrica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Aminipila","Aminipila butyrica","strain"
"Anaeroarcus burkinensis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Anaeroarcus","Anaeroarcus burkinensis","strain"
"Anaerobacterium chartisolvens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerobacterium","Anaerobacterium chartisolvens","strain"
"Anaerobium acetethylicum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobium","Anaerobium acetethylicum","strain"
"Anaerococcus nagyae","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus nagyae","strain"
"Anaerococcus urinomassiliensis","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus urinomassiliensis","strain"
"Anaerocolumna aminovalerica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerocolumna","Anaerocolumna aminovalerica","strain"
"Anaerocolumna cellulosilytica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerocolumna","Anaerocolumna cellulosilytica","strain"
"Anaerocolumna jejuensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerocolumna","Anaerocolumna jejuensis","strain"
"Anaerocolumna xylanovorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerocolumna","Anaerocolumna xylanovorans","strain"
"Anaerofilum agile","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerofilum","Anaerofilum agile","strain"
"Anaerofilum pentosovorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerofilum","Anaerofilum pentosovorans","strain"
"Anaerofustis stercorihominis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Anaerofustis","Anaerofustis stercorihominis","strain"
"Anaeromassilibacillus senegalensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaeromassilibacillus","Anaeromassilibacillus senegalensis","strain"
"Anaeromusa acidaminophila","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Anaeromusa","Anaeromusa acidaminophila","strain"
"Anaerosinus glycerini","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Anaerosinus","Anaerosinus glycerini","strain"
"Anaerospora hongkongensis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Anaerospora","Anaerospora hongkongensis","strain"
"Anaerosporobacter mobilis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerosporobacter","Anaerosporobacter mobilis","strain"
"Anaerosporomusa subterranea","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Anaerosporomusa","Anaerosporomusa subterranea","strain"
"Anaerostipes butyraticus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes butyraticus","strain"
"Anaerostipes caccae","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes caccae","strain"
"Anaerostipes hadrus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","strain"
"Anaerotaenia torta","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotaenia","Anaerotaenia torta","strain"
"Anaerotalea alkaliphila","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","family","Anaerotalea","Anaerotalea alkaliphila","strain"
"Anaerotignum aminivorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum","Anaerotignum aminivorans","strain"
"Anaerotignum faecicola","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum","Anaerotignum faecicola","strain"
"Anaerotignum lactatifermentans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum","Anaerotignum lactatifermentans","strain"
"Anaerotignum neopropionicum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum","Anaerotignum neopropionicum","strain"
"Anaerotignum propionicum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum","Anaerotignum propionicum","strain"
"Anaerotruncus colihominis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus colihominis","strain"
"Anaerotruncus rubiinfantis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus rubiinfantis","strain"
"Anaerovibrio lipolyticus DSM 3074","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio","Anaerovibrio lipolyticus","Anaerovibrio lipolyticus DSM 3074"
"Anaerovorax odorimutans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Anaerovorax","Anaerovorax odorimutans","strain"
"Anoxynatronum buryatiense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Anoxynatronum","Anoxynatronum buryatiense","strain"
"Asaccharospora irregularis DSM 2635","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Asaccharospora","Asaccharospora irregularis","Asaccharospora irregularis DSM 2635"
"Atlantibacter hermannii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter","Atlantibacter hermannii","strain"
"Aureimonas ureilytica DSM 18598 = NBRC 106430","Bacteria","clade","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Aureimonas","Aureimonas ureilytica","Aureimonas ureilytica DSM 18598 = NBRC 106430"
"Bacillus cereus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus","strain"
"Bacillus cereus ATCC 14579","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus","Bacillus cereus ATCC 14579"
"Bacillus cytotoxicus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cytotoxicus","strain"
"Bacillus fungorum","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus fungorum","strain"
"Bacillus massiliogorillae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus massiliigorillae","strain"
"Bacillus mycoides","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus mycoides","strain"
"Bacillus pacificus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus pacificus","strain"
"Bacillus paramycoides","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus paramycoides","strain"
"Bacillus proteolyticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus proteolyticus","strain"
"Bacillus testis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus testis","strain"
"Bacillus tropicus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus tropicus","strain"
"Bacillus wiedmannii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus wiedmannii","strain"
"Bacillus wudalianchiensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus wudalianchiensis","strain"
"Bacteroides acidifaciens","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides acidifaciens","strain"
"Bacteroides caccae","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","strain"
"Bacteroides caecimuris","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caecimuris","strain"
"Bacteroides cellulosilyticus","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus","strain"
"Bacteroides cellulosilyticus DSM 14838","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus","Bacteroides cellulosilyticus DSM 14838"
"Bacteroides clarus YIT 12056","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides clarus","Bacteroides clarus YIT 12056"
"Bacteroides eggerthii","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides eggerthii","strain"
"Bacteroides faecichinchillae JCM 17102","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides faecichinchillae","Bacteroides faecichinchillae JCM 17102"
"Bacteroides faecis MAJ27","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides faecis","Bacteroides faecis MAJ27"
"Bacteroides finegoldii","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides finegoldii","strain"
"Bacteroides fluxus YIT 12057","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fluxus","Bacteroides fluxus YIT 12057"
"Bacteroides fragilis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","strain"
"Bacteroides fragilis NCTC 9343","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides fragilis NCTC 9343"
"Bacteroides gallinarum","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides gallinarum","strain"
"Bacteroides graminisolvens","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides graminisolvens","strain"
"Bacteroides helcogenes","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides helcogenes","strain"
"Bacteroides ihuae","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ihuae","strain"
"Bacteroides intestinalis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides intestinalis","strain"
"Bacteroides koreensis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides koreensis","strain"
"Bacteroides luti","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides luti","strain"
"Bacteroides nordii WAL 11050 = JCM 12987","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides nordii","Bacteroides nordii WAL 11050 = JCM 12987"
"Bacteroides oleiciplenus YIT 12058","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides oleiciplenus","Bacteroides oleiciplenus YIT 12058"
"Bacteroides ovatus","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","strain"
"Bacteroides reticulotermitis JCM 10512","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides reticulotermitis","Bacteroides reticulotermitis JCM 10512"
"Bacteroides rodentium JCM 16496","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides rodentium","Bacteroides rodentium JCM 16496"
"Bacteroides salyersiae","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides salyersiae","strain"
"Bacteroides stercorirosoris JCM 17103","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercorirosoris","Bacteroides stercorirosoris JCM 17103"
"Bacteroides thetaiotaomicron","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","strain"
"Bacteroides timonensis AP1","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides timonensis","strain"
"Bacteroides uniformis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","strain"
"Bacteroides xylanisolvens XB1A","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens","Bacteroides xylanisolvens XB1A"
"Bariatricus massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Bariatricus","Bariatricus massiliensis","strain"
"Beduini massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Beduini","Beduini massiliensis","strain"
"Biostraticola tofi","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Bruguierivoracaceae","Biostraticola","Biostraticola tofi","strain"
"Blautia argi","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia argi","strain"
"Blautia caecimuris","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia caecimuris","strain"
"Blautia coccoides","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia coccoides","strain"
"Blautia faecicola","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia faecicola","strain"
"Blautia faecis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia faecis","strain"
"Blautia glucerasea","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia glucerasea","strain"
"Blautia hansenii DSM 20583","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia hansenii","Blautia hansenii DSM 20583"
"Blautia hominis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia hominis","strain"
"Blautia hydrogenotrophica","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia hydrogenotrophica","strain"
"Blautia luti","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia luti","strain"
"Blautia luti DSM 14534","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia luti","Blautia luti DSM 14534"
"Blautia marasmi","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia marasmi","strain"
"Blautia obeum ATCC 29174","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia obeum","Blautia obeum ATCC 29174"
"Blautia producta","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia producta","strain"
"Blautia producta ATCC 27340 = DSM 2950","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia producta","Blautia producta ATCC 27340 = DSM 2950"
"Blautia schinkii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia schinkii","strain"
"Blautia stercoris","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia stercoris","strain"
"Blautia wexlerae DSM 19850","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia wexlerae","Blautia wexlerae DSM 19850"
"Bowdeniella nasicola","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Bowdeniella","Bowdeniella nasicola","strain"
"Bradyrhizobium mercantei","Bacteria","clade","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium mercantei","strain"
"Brassicibacter mesophilus","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Thermohalobacteraceae","Brassicibacter","Brassicibacter mesophilus","strain"
"Brenneria alni","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Brenneria","Brenneria alni","strain"
"Brenneria nigrifluens DSM 30175 = ATCC 13028","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Brenneria","Brenneria nigrifluens","Brenneria nigrifluens DSM 30175 = ATCC 13028"
"Brenneria rubrifaciens","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Brenneria","Brenneria rubrifaciens","strain"
"Brenneria salicis ATCC 15712 = DSM 30166","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Brenneria","Brenneria salicis","Brenneria salicis ATCC 15712 = DSM 30166"
"Brevibacillus ginsengisoli","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus","Brevibacillus ginsengisoli","strain"
