"","Var1","barcode01","barcode02","barcode03","barcode04","barcode05","barcode06","barcode07","barcode08","barcode09","barcode10","barcode11","barcode12","barcode13","barcode14","barcode15","barcode16","barcode17","barcode18","barcode19","barcode20","barcode21","barcode22","barcode23","barcode24","unclassified"
"[Clostridium] hylemonae","[Clostridium] hylemonae",1,6,0,1,6,0,1,1,0,0,0,0,3,2,0,0,0,5,0,3,27,3,5,6,8
"[Clostridium] hylemonae DSM 15053","[Clostridium] hylemonae DSM 15053",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2
"[Clostridium] innocuum","[Clostridium] innocuum",287,13,1,104,17,220,114,124,43,0,494,1548,786,129,104,6,415,2773,0,0,5,4,35,7,238
"[Clostridium] leptum","[Clostridium] leptum",0,43,0,60,45,0,104,259,128,0,1115,24,949,229,6,15,207,1983,0,29,6,0,13,3,173
"[Clostridium] methoxybenzovorans SR3","[Clostridium] methoxybenzovorans SR3",0,16,2,0,2,0,2,0,0,0,15,7,47,16,3,1,3,12,9,54,7,3,8,1,6
"[Clostridium] methylpentosum","[Clostridium] methylpentosum",0,7,0,11,3,0,6,3,4,0,57,27,30,176,5,0,0,151,0,18,7,0,441,0,60
"[Clostridium] paradoxum JW-YL-7 = DSM 7308","[Clostridium] paradoxum JW-YL-7 = DSM 7308",0,4,5,5,3,9,1,1,9,0,11,7,4,8,0,1,5,32,13,2,1,1,2,0,4
"[Clostridium] polysaccharolyticum","[Clostridium] polysaccharolyticum",0,0,0,0,0,0,0,0,0,0,15,0,2,1200,0,0,0,0,0,0,4,0,25,0,37
"[Clostridium] populeti","[Clostridium] populeti",0,56,0,0,0,0,0,0,0,0,7,0,0,6,0,0,2,0,0,1,215,0,13,0,10
"[Clostridium] saccharogumia","[Clostridium] saccharogumia",0,8,1,5,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,4,0,14,0,4
"[Clostridium] scindens","[Clostridium] scindens",0,5,4,0,1,0,2,1,1,0,5,1,10,98,0,0,2,9,0,0,9,1,7,0,8
"[Clostridium] sphenoides JCM 1415","[Clostridium] sphenoides JCM 1415",0,15,37,7,3,0,13,2,3,0,30,18,220,64,11,0,19,25,116,202,96,1,134,1,26
"[Clostridium] spiroforme","[Clostridium] spiroforme",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1
"[Clostridium] spiroforme DSM 1552","[Clostridium] spiroforme DSM 1552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"[Clostridium] sporosphaeroides","[Clostridium] sporosphaeroides",0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,1,0,0,0,0,3
"[Clostridium] symbiosum","[Clostridium] symbiosum",1,893,133,192,223,0,391,365,25,0,376,5,2566,366,219,6,420,472,6,1673,376,24,1594,5,409
"[Clostridium] thermoalcaliphilum","[Clostridium] thermoalcaliphilum",0,0,7,2,0,2,3,0,1,0,3,7,3,2,0,0,4,11,2,2,1,0,3,0,3
"[Clostridium] viride","[Clostridium] viride",0,33,54,51,188,0,232,2,24,0,658,6,1784,887,15,13,5,5,4,10,362,0,401,0,140
"[Erwinia] teleogrylli","[Erwinia] teleogrylli",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"[Eubacterium] brachy","[Eubacterium] brachy",0,3,3,4,2,0,0,2,0,0,1,9,4,3,1,2,0,22,0,0,9,0,2,0,5
"[Eubacterium] cellulosolvens","[Eubacterium] cellulosolvens",0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,0
"[Eubacterium] eligens ATCC 27750","[Eubacterium] eligens ATCC 27750",1,5,0,1,14,0,2,1,0,0,30,4,24,10,1,0,5,2,2,11,7,0,40,0,3
"[Eubacterium] infirmum","[Eubacterium] infirmum",0,0,99,1,1,0,3,0,1,0,1,2,6,0,0,0,0,7,0,0,0,0,1,0,7
"[Eubacterium] minutum","[Eubacterium] minutum",0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,0,0
"[Eubacterium] rectale ATCC 33656","[Eubacterium] rectale ATCC 33656",0,1,0,15,1,0,26,4,0,0,2,1,34,3,0,1,3,6,0,64,186,7,24,4,10
"[Eubacterium] saphenum","[Eubacterium] saphenum",0,3,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0,1,0,0,0,1
"[Eubacterium] siraeum","[Eubacterium] siraeum",0,3,0,2,0,0,5,1,2,0,2,15,13,22,1,0,0,26,0,37,0,0,3,0,7
"[Eubacterium] tenue","[Eubacterium] tenue",1,22,5,10,0,6,4,1,2,1,5,3,9,4,3,0,10,26,1,6,0,1,1,0,10
"[Ochrobactrum] soli","[Ochrobactrum] soli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"[Pseudomonas] hibiscicola","[Pseudomonas] hibiscicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"[Ruminococcus] faecis JCM 15917","[Ruminococcus] faecis JCM 15917",0,7,0,1,1,0,1,5,2,0,1,1,6,2,0,0,1,3,0,8,3,4,2,7,3
"[Ruminococcus] gnavus ATCC 29149","[Ruminococcus] gnavus ATCC 29149",46,61,437,59,31,1,274,82,114,0,603,30,1807,304,136,18,63,1571,20,560,355,40,173,195,310
"[Ruminococcus] lactaris ATCC 29176","[Ruminococcus] lactaris ATCC 29176",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,1,4,0,4,2,2
"[Ruminococcus] torques","[Ruminococcus] torques",0,22,5,3,3,0,2,1,4,0,3,0,12,6,1,0,1,12,0,26,8,4,46,25,8
"Absiella tortuosum","Absiella tortuosum",1,0,0,0,0,1,1,0,0,0,0,2,18,26,0,0,0,3,0,3,15,15,13,4,3
"Abyssisolibacter fermentans","Abyssisolibacter fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
"Abyssivirga alkaniphila","Abyssivirga alkaniphila",0,2,0,0,0,0,0,0,0,0,1,0,1,98,0,0,0,0,0,11,2,0,292,0,12
"Acaryochloris marina MBIC11017","Acaryochloris marina MBIC11017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Acetanaerobacterium elongatum","Acetanaerobacterium elongatum",0,71,0,73,33,0,77,43,30,0,391,541,699,179,85,3,10,943,0,321,41,3,69,0,112
"Acetatifactor muris","Acetatifactor muris",0,0,0,0,1,0,0,0,0,0,1,0,0,39,0,0,0,0,2,0,0,0,15,0,7
"Acetitomaculum ruminis","Acetitomaculum ruminis",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1
"Acetivibrio aldrichii","Acetivibrio aldrichii",0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,4,0,49,1,0,140,0,9
"Acetivibrio alkalicellulosi","Acetivibrio alkalicellulosi",0,0,0,1,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,146,5,0,60,0,5
"Acetivibrio cellulolyticus","Acetivibrio cellulolyticus",1,0,0,0,1,0,3,0,0,0,4,1,1,36,0,0,0,2,0,4,2,1,89,0,2
"Acetivibrio clariflavus DSM 19732","Acetivibrio clariflavus DSM 19732",2,9,1,1,18,0,0,0,0,0,1,3,10,11,0,0,0,2,0,9,60,0,74,2,16
"Acetivibrio ethanolgignens","Acetivibrio ethanolgignens",0,124,0,0,0,1,2,0,0,0,30,1,3,264,0,0,1,3,1,3,3,0,1810,1,89
"Acetivibrio saccincola","Acetivibrio saccincola",0,1,0,0,0,0,0,0,0,0,0,1,3,10,0,0,0,0,0,16,7,0,45,0,3
"Acetivibrio straminisolvens","Acetivibrio straminisolvens",0,2,0,0,19,0,1,0,0,0,1,0,1,0,0,0,0,1,0,12,42,0,34,0,8
"Acetivibrio thermocellus","Acetivibrio thermocellus",0,2,1,1,7,0,1,1,1,0,15,6,13,79,4,0,0,8,0,8,35,0,56,0,5
"Acetoanaerobium pronyense","Acetoanaerobium pronyense",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"Acetobacterium bakii","Acetobacterium bakii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Acetobacterium carbinolicum","Acetobacterium carbinolicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Acetobacterium carbinolicum subsp. kysingense","Acetobacterium carbinolicum subsp. kysingense",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Acetobacterium malicum","Acetobacterium malicum",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"Acetobacterium psammolithicum","Acetobacterium psammolithicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Acetobacterium tundrae","Acetobacterium tundrae",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
"Acetobacterium woodii DSM 1030","Acetobacterium woodii DSM 1030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Acetonema longum DSM 6540","Acetonema longum DSM 6540",0,1,3,0,0,0,0,0,0,0,0,4,2,0,0,0,0,4,3,0,0,0,90,0,5
"Achromobacter agilis","Achromobacter agilis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter animicus","Achromobacter animicus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter denitrificans","Achromobacter denitrificans",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter dolens","Achromobacter dolens",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter panacis","Achromobacter panacis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Achromobacter pestifer","Achromobacter pestifer",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminobacter hydrogenoformans","Acidaminobacter hydrogenoformans",0,1,0,1,0,0,2,0,0,0,4,0,1,1,0,0,0,3,0,0,0,0,4,0,1
"Acidaminococcus fermentans","Acidaminococcus fermentans",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Acidaminococcus fermentans DSM 20731","Acidaminococcus fermentans DSM 20731",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,3,0,0
"Acidaminococcus intestini","Acidaminococcus intestini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Aciditerrimonas ferrireducens JCM 15389","Aciditerrimonas ferrireducens JCM 15389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Acinetobacter bereziniae","Acinetobacter bereziniae",0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,2,0,0,0,0,0,0
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter chinensis","Acinetobacter chinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Acinetobacter courvalinii","Acinetobacter courvalinii",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter guillouiae","Acinetobacter guillouiae",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter johnsonii","Acinetobacter johnsonii",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0
"Acinetobacter lwoffii","Acinetobacter lwoffii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Acinetobacter radioresistens","Acinetobacter radioresistens",0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter seohaensis","Acinetobacter seohaensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Acinetobacter vivianii","Acinetobacter vivianii",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actimicrobium antarcticum","Actimicrobium antarcticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinomadura macra","Actinomadura macra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Actinomyces polynesiensis","Actinomyces polynesiensis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"Actinomyces viscosus","Actinomyces viscosus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Actinoplanes capillaceus","Actinoplanes capillaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Acutalibacter muris","Acutalibacter muris",0,3,0,8,0,0,4,8,7,1,203,35,82,6,4,0,1,62,0,19,3,0,46,0,8
"Adhaeretor mobilis","Adhaeretor mobilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Advenella mimigardefordensis DPN7","Advenella mimigardefordensis DPN7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aegeococcus anagnostidisi","Aegeococcus anagnostidisi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Aegeococcus thureti","Aegeococcus thureti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Aeribacillus pallidus","Aeribacillus pallidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Aerococcus urinaehominis","Aerococcus urinaehominis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aerococcus viridans","Aerococcus viridans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aerococcus viridans ATCC 11563 = CCUG 4311","Aerococcus viridans ATCC 11563 = CCUG 4311",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aestuariispira insulae","Aestuariispira insulae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2
"Agathobacter ruminis","Agathobacter ruminis",0,0,0,2,0,0,0,3,0,0,2,0,13,4,0,1,0,0,0,9,31,0,2,0,0
"Agathobaculum butyriciproducens","Agathobaculum butyriciproducens",0,2,0,0,0,0,1,0,1,0,36,0,1,203,0,0,1,0,0,2,4,0,7,0,10
"Agathobaculum desmolans","Agathobaculum desmolans",0,2,0,1,0,0,1,0,0,0,21,1,1,54,0,0,0,0,0,0,2,0,6,0,1
"Agrilactobacillus composti","Agrilactobacillus composti",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agromyces cerinus subsp. cerinus","Agromyces cerinus subsp. cerinus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahrensia marina","Ahrensia marina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"Akkermansia glycaniphila","Akkermansia glycaniphila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,1,2,0,3
"Akkermansia muciniphila","Akkermansia muciniphila",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,435,0,16
"Akkermansia muciniphila ATCC BAA-835","Akkermansia muciniphila ATCC BAA-835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alcaligenes faecalis","Alcaligenes faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Algoriella xinjiangensis","Algoriella xinjiangensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Algoriphagus roseus","Algoriphagus roseus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Algoriphagus winogradskyi","Algoriphagus winogradskyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Alicyclobacillus acidiphilus","Alicyclobacillus acidiphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Alicyclobacillus fastidiosus","Alicyclobacillus fastidiosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Alicyclobacillus pomorum","Alicyclobacillus pomorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Alicyclobacillus sacchari","Alicyclobacillus sacchari",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Alicyclobacillus vulcanalis","Alicyclobacillus vulcanalis",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Aliicoccus persicus","Aliicoccus persicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Aliidiomarina soli","Aliidiomarina soli",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aliivibrio finisterrensis","Aliivibrio finisterrensis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aliivibrio wodanis","Aliivibrio wodanis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes finegoldii","Alistipes finegoldii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,51,70,1,9
"Alistipes finegoldii DSM 17242","Alistipes finegoldii DSM 17242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Alistipes ihumii AP11","Alistipes ihumii AP11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,28,33,1
"Alistipes indistinctus YIT 12060","Alistipes indistinctus YIT 12060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,59,94,2
"Alistipes inops","Alistipes inops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Alistipes onderdonkii","Alistipes onderdonkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0
"Alistipes putredinis","Alistipes putredinis",0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,10,531,123,20
"Alistipes senegalensis JC50","Alistipes senegalensis JC50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,74,6,6
"Alistipes shahii","Alistipes shahii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,128,244,114,23
"Alistipes shahii WAL 8301","Alistipes shahii WAL 8301",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,108,9,50,12,6
"Alistipes timonensis JC136","Alistipes timonensis JC136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2,4
"Alkalibacter saccharofermentans","Alkalibacter saccharofermentans",0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,0,0,0,7,1,47,0,1
"Alkalibacterium indicireducens","Alkalibacterium indicireducens",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alkalibacterium psychrotolerans","Alkalibacterium psychrotolerans",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alkalibaculum bacchi","Alkalibaculum bacchi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,8,0,22,0,1
"Alkalicella caledoniensis","Alkalicella caledoniensis",0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,6,0,0
"Alkalicoccus chagannorensis","Alkalicoccus chagannorensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Alkaliflexus imshenetskii","Alkaliflexus imshenetskii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"Alkalihalobacillus alkalinitrilicus","Alkalihalobacillus alkalinitrilicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alkalihalobacillus berkeleyi","Alkalihalobacillus berkeleyi",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Alkalihalobacillus halodurans","Alkalihalobacillus halodurans",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Alkalihalobacillus hemicellulosilyticus","Alkalihalobacillus hemicellulosilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Alkalihalobacillus hwajinpoensis","Alkalihalobacillus hwajinpoensis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"Alkalihalobacillus lehensis","Alkalihalobacillus lehensis",0,0,0,0,0,0,6,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,1
"Alkalihalobacillus lonarensis","Alkalihalobacillus lonarensis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Alkalihalobacillus pseudalcaliphilus","Alkalihalobacillus pseudalcaliphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Alkalihalobacillus shacheensis","Alkalihalobacillus shacheensis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alkalihalobacillus trypoxylicola","Alkalihalobacillus trypoxylicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Alkalihalobacillus xiaoxiensis","Alkalihalobacillus xiaoxiensis",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Alkalimonas amylolytica","Alkalimonas amylolytica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Alkaliphilus crotonatoxidans","Alkaliphilus crotonatoxidans",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,7,0,2,0,0,1,0,3
"Alkaliphilus halophilus","Alkaliphilus halophilus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alkaliphilus hydrothermalis","Alkaliphilus hydrothermalis",0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,1
"Alkaliphilus metalliredigens QYMF","Alkaliphilus metalliredigens QYMF",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Alkaliphilus oremlandii","Alkaliphilus oremlandii",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,8,0,0,9,0,0
"Alkaliphilus peptidifermentans","Alkaliphilus peptidifermentans",0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1
"Alkaliphilus transvaalensis","Alkaliphilus transvaalensis",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Alkalitalea saponilacus","Alkalitalea saponilacus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,14,0,0
"Alterileibacterium massiliense","Alterileibacterium massiliense",0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,3,0,0,0,0,0,0,1
"Amaricoccus macauensis","Amaricoccus macauensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Amaricoccus tamworthensis","Amaricoccus tamworthensis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amedibacillus dolichus","Amedibacillus dolichus",0,6,2,2,0,0,0,0,0,0,115,0,11,157,0,5,0,776,0,81,90,17,21,504,58
"Amedibacillus dolichus DSM 3991","Amedibacillus dolichus DSM 3991",0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,12,0,4,2,0,0,16,4
